,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
nc0121,E su su sun chel Sanpieri,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-21,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1FGTtCAKJW4lQFzbVVHWmL53ybr5x-iaf/view?usp=drive_link,,,,
nc0122,Fol issai fol istrai,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-22,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1-93irhIrAXee5Q0heyzCuk9BkW_u7yk1/view?usp=drive_link,,,,
nc0123,E Prioule no je une vile,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-23,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1AIKFfZxr3oPdU3kL_HVkfx_Wlafka-Ok/view?usp=drive_link,,,,
nc0201,Oggi è quel giorno Santo,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1D7gbguL6_-LnhtB88eQmbZJEGKp_GW3P/view?usp=drive_link,,,,
nc0202,Auguri seguiti a canto epifanico,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1gcVLBg9Kr0tAEDgWTzUpcsLd5uMjY54j/view?usp=drive_link,,,,
nc0203,questo è un cjant a la Madone,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1DeP3GAnPXIffp6n4ywo5A3F_ZY8w2g1W/view?usp=drive_link,,,,
nc0204,Là su in cîl,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1Gt5KO0op9PEqdpYZ42kUY1j-aqk7ZUnj/view?usp=drive_link,,,,
nc0205,Chel rinçot par sore al voli,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1Bz6koWpA6RJPa7L-975juRQL8HGm8yni/view?usp=drive_link,,,,
nc0206,O bella mia speranza,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1YJXIN7DX1lbxrESlnVpmKkIomEWePiao/view?usp=drive_link,,,,
nc0207,Amabile Maria,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/17HlmTtNPBxqIsJ_mmgE8pj3Z0DBYLfTW/view?usp=drive_link,,,,
nc0208,Orazione per il primo giorno di Quaresima,Maria Casanova in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1CNyQ3Gna05cSOoXynsbGmvf8WJk5zqyu/view?usp=drive_link,,,,
nc0209,"Dormi, non piangere",Elena Barbacetto in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1y1aGMangI7pLBWy_AsZKS5Zy_qWHgq9T/view?usp=drive_link,,,,
nc0210,"Antonio, santo miracoloso",Elena Barbacetto in Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/15jLBnTPIVE8EjRWAUNlc2LhkZsARwVmx/view?usp=drive_link,,,,
nc0211,Nana nana pupin,Ido Barbacetto,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1gDmF2wHLFS6hl4BNeFM3WMNb7xEVBdAx/view?usp=drive_link,,,,
nc0212,Simpri simpri jote frede,Ido Barbacetto ,12 agosto 1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/17DS09oqBJxyKUJ3f9IrPx1Lc29utrdSC/view?usp=drive_link,,,,
nc0213,Inno a Sant'Antonio,Angelina Dipiazza,13 agosto 1968,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1raajQZHO_qkwnLg3vO-xA6fHSzjOIKAj/view?usp=drive_link,,,,
nc0214,O dei miracoli inclito santo,Angelica Dipiazza,13 agosto 1968,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1K1s_kUm0tsi2jrGbnZ-qT8v1V2IPxSTU/view?usp=drive_link,,,,
nc0215,Ioi se biel lusor di lune!,Angelica Dipiazza,13 agosto 1968,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1y6tVfZf9qmJ2dCDC3sUZds3Gf1vxLuWE/view?usp=drive_link,,,,
nc0216,Io soi di Sitiet,Angelica Dipiazza,13 agosto 1968,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1xx-42MhactJ0o1JgegiANfC8nS_lvoNm/view?usp=drive_link,,,,
nc0217,Il cjapiel al à da bulo,Angelica Dipiazza,13 agosto 1968,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1yXk3j-e8nf39HW7wQIeJwc3-1oF3JM0P/view?usp=drive_link,,,,
nc0218,"O durmiso, o vegliaiso",Angelica Dipiazza,13 agosto 1968,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/15GJPj1SV1oSEnbdvpyPsEt3pgb4vYNJI/view?usp=drive_link,,,,
nc0219,Un cjant a la nuvice,Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1t9QQCqPdHTcoL5KUSjUhRcfiO6bR5_Zu/view?usp=drive_link,,,,
nc0220,E son tre dis ch'jo i puarti aghe,Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/159sOWP9umZe6iU8-r0A5l_DGM9ji0JEh/view?usp=drive_link,,,,
nc0221,"No vai tu, personine",Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1b9qE3sRZqVBtcerNHeAhwpuEKOUF7zwD/view?usp=drive_link,,,,
nc0222,Duc mi disin che no ai morosis,Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1PbWBcNWv_Ffd7ajWbhWbbUJBy46PENGR/view?usp=drive_link,,,,
nc0223,Lait a rosis in montagne,Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1v92htwuzdYrp9ldk3CM9iKNSRpH6am4G/view?usp=drive_link,,,,
nc0224,Quand ch'jo fui sot Givijano,Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1JUEu1h5AjXzlNKfG7BzKREaaF7gS__IK/view?usp=drive_link,,,,
nc0225,E velu là,Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1CU_oicizpt3vFc_mPHwwyByL4xlp_4KU/view?usp=drive_link,,,,
nc0226,"ven chi, signor, chel pan",Fiorina e Carla Dipiazza,10 agosto 1966,Canto popolare carnico - Tualis,Canto popolare carnico - Tualis,Tualis,134.44.00,158.48.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1ljpEkxlKXypnobMmlnbml4P7s15JETyB/view?usp=drive_link,,,,
nc0227,Quand ch'i passi oltre Mieli,,10 agosto 1966,Canto popolare carnico - Noiaretto,Canto popolare carnico - Noiaretto,Noiaretto,134.39.00,158.31.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1dQHiEWMXJ_r8mB7fiZGQnEKzU24yfx57/view?usp=drive_link,,,,
